HARGA,LT,LB,JKT,JKM,GRS,KOTA
"28,000,000,000",1100,700,5,6,ADA,JAKSEL
"19,000,000,000",824,800,4,4,ADA,JAKSEL
"4,700,000,000",500,400,4,3,ADA,JAKSEL
"4,900,000,000",251,300,5,4,ADA,JAKSEL
"28,000,000,000",1340,575,4,5,ADA,JAKSEL
"10,000,000,000",460,300,4,4,ADA,JAKSEL
"7,600,000,000",278,350,4,4,ADA,JAKSEL
"5,250,000,000",511,300,3,2,ADA,JAKSEL
"670,000,000",70,69,3,2,TIDAK ADA,JAKSEL
"480,000,000",66,42,2,1,TIDAK ADA,JAKSEL
"10,700,000,000",449,500,6,7,ADA,JAKSEL
"4,200,000,000",109,188,2,3,ADA,JAKSEL
"8,500,000,000",320,250,4,4,ADA,JAKSEL
"7,000,000,000",384,400,4,4,ADA,JAKSEL
"20,000,000,000",462,645,5,6,ADA,JAKSEL
"9,500,000,000",212,300,4,4,ADA,JAKSEL
"13,400,000,000",342,450,5,4,ADA,JAKSEL
"11,000,000,000",410,700,4,4,ADA,JAKSEL
"5,800,000,000",144,285,4,3,ADA,JAKSEL
"35,000,000,000",985,400,4,3,ADA,JAKSEL
"14,000,000,000",780,500,3,4,ADA,JAKSEL
"5,000,000,000",217,450,4,4,ADA,JAKSEL
"40,000,000,000",1500,700,4,4,ADA,JAKSEL
"7,250,000,000",210,300,4,3,ADA,JAKSEL
"5,200,000,000",110,200,3,3,ADA,JAKSEL
"25,000,000,000",760,650,4,4,ADA,JAKSEL
"5,680,000,000",151,245,3,3,ADA,JAKSEL
"10,500,000,000",220,350,4,3,ADA,JAKSEL
"7,050,000,000",128,315,3,3,ADA,JAKSEL
"9,300,000,000",235,270,3,3,TIDAK ADA,JAKSEL
"6,500,000,000",100,250,4,3,ADA,JAKSEL
"68,000,000,000",470,1000,5,5,ADA,JAKSEL
"3,000,000,000",75,150,4,2,ADA,JAKSEL
"85,000,000,000",770,500,4,4,ADA,JAKSEL
"19,500,000,000",610,1000,6,5,ADA,JAKSEL
"20,900,000,000",754,500,4,4,ADA,JAKSEL
"15,500,000,000",440,350,4,3,ADA,JAKSEL
"14,000,000,000",410,800,4,4,ADA,JAKSEL
"39,000,000,000",973,1100,4,3,ADA,JAKSEL
"8,000,000,000",251,320,4,4,ADA,JAKSEL
"20,000,000,000",780,600,4,4,ADA,JAKSEL
"17,500,000,000",954,600,4,3,ADA,JAKSEL
"34,000,000,000",1186,900,6,5,ADA,JAKSEL
"7,500,000,000",186,380,4,4,ADA,JAKSEL
"18,500,000,000",358,500,4,5,ADA,JAKSEL
"5,000,000,000",217,200,4,3,ADA,JAKSEL
"16,000,000,000",535,600,4,4,ADA,JAKSEL
"13,000,000,000",330,500,3,3,ADA,JAKSEL
"8,000,000,000",250,320,4,3,ADA,JAKSEL
"17,500,000,000",477,530,4,4,ADA,JAKSEL
"10,500,000,000",282,450,4,4,ADA,JAKSEL
"35,500,000,000",1312,850,5,4,ADA,JAKSEL
"16,000,000,000",860,500,4,4,ADA,JAKSEL
"11,700,000,000",246,347,4,3,ADA,JAKSEL
"18,500,000,000",443,450,4,3,ADA,JAKSEL
"17,500,000,000",389,400,4,3,ADA,JAKSEL
"6,500,000,000",300,450,4,3,ADA,JAKSEL
"18,500,000,000",433,600,4,4,ADA,JAKSEL
"25,000,000,000",987,400,4,3,ADA,JAKSEL
"23,000,000,000",817,500,6,4,ADA,JAKSEL
"12,990,000,000",876,428,5,4,ADA,JAKSEL
"15,000,000,000",887,300,3,2,ADA,JAKSEL
"13,000,000,000",384,425,5,4,ADA,JAKSEL
"33,000,000,000",458,400,4,4,ADA,JAKSEL
"9,500,000,000",200,235,3,3,ADA,JAKSEL
"5,750,000,000",144,285,4,4,ADA,JAKSEL
"19,000,000,000",358,600,4,5,TIDAK ADA,JAKSEL
"19,000,000,000",550,480,4,4,ADA,JAKSEL
"21,500,000,000",950,300,5,4,ADA,JAKSEL
"5,200,000,000",164,140,3,3,ADA,JAKSEL
"14,000,000,000",460,400,4,3,ADA,JAKSEL
"55,000,000,000",1487,1200,6,4,ADA,JAKSEL
"6,250,000,000",158,400,4,2,ADA,JAKSEL
"29,000,000,000",1186,800,9,8,ADA,JAKSEL
"8,000,000,000",323,317,5,4,ADA,JAKSEL
"8,500,000,000",502,250,4,4,ADA,JAKSEL
"18,000,000,000",916,147,5,7,ADA,JAKSEL
"4,500,000,000",109,188,2,3,ADA,JAKSEL
"10,000,000,000",395,450,5,5,ADA,JAKSEL
"4,250,000,000",152,275,3,3,ADA,JAKSEL
"4,500,000,000",138,250,5,4,TIDAK ADA,JAKSEL
"2,800,000,000",100,150,3,3,TIDAK ADA,JAKSEL
"15,000,000,000",2010,800,4,3,ADA,JAKSEL
"7,800,000,000",188,367,3,3,ADA,JAKSEL
"21,000,000,000",500,525,4,5,ADA,JAKSEL
"38,000,000,000",1229,800,4,4,ADA,JAKSEL
"29,950,000,000",1000,600,4,4,ADA,JAKSEL
"7,500,000,000",350,350,6,6,TIDAK ADA,JAKSEL
"25,000,000,000",987,400,4,3,TIDAK ADA,JAKSEL
"36,000,000,000",626,500,5,3,ADA,JAKSEL
"20,000,000,000",472,650,6,5,TIDAK ADA,JAKSEL
"29,000,000,000",1186,600,8,9,TIDAK ADA,JAKSEL
"5,500,000,000",234,115,2,2,ADA,JAKSEL
"16,590,000,000",405,495,4,4,ADA,JAKSEL
"33,500,000,000",1000,800,5,6,TIDAK ADA,JAKSEL
"21,000,000,000",802,904,4,3,ADA,JAKSEL
"7,720,000,000",125,298,4,4,ADA,JAKSEL
"22,000,000,000",1019,650,4,3,ADA,JAKSEL
"18,500,000,000",180,600,4,4,ADA,JAKSEL
"16,500,000,000",933,600,5,5,ADA,JAKSEL
"11,980,000,000",241,572,4,5,ADA,JAKSEL
"8,500,000,000",250,250,4,4,ADA,JAKSEL
"7,700,000,000",190,350,3,2,ADA,JAKSEL
"4,200,000,000",270,300,4,4,ADA,JAKSEL
"15,700,000,000",860,325,5,4,ADA,JAKSEL
"17,000,000,000",916,147,5,7,ADA,JAKSEL
"8,000,000,000",323,317,5,4,ADA,JAKSEL
"9,550,000,000",251,288,3,3,ADA,JAKSEL
"7,600,000,000",278,350,4,4,ADA,JAKSEL
"10,200,000,000",320,360,6,4,ADA,JAKSEL
"5,900,000,000",240,350,4,4,ADA,JAKSEL
"6,000,000,000",178,309,4,3,ADA,JAKSEL
"10,800,000,000",438,540,6,5,ADA,JAKSEL
"55,000,000,000",1500,1200,7,6,ADA,JAKSEL
"14,000,000,000",714,750,5,3,TIDAK ADA,JAKSEL
"6,900,000,000",358,450,4,3,ADA,JAKSEL
"55,000,000,000",1497,1200,5,5,ADA,JAKSEL
